,school name,geometry
0,BANG'ATA,POINT (36.74861 -3.331012)
1,SAKURA,POINT (36.7453254 -3.3347)
2,OLOKII,POINT (36.807554 -3.551803)
3,ILKIDING'A,POINT (36.684947 -3.318724)
4,KIMNYAKI,POINT (36.658134 -3.309495)
5,NGATEU,POINT (36.6584608 -3.4140083)
6,TRUST PATRICK,POINT (36.652209 -3.3541965)
7,WINNING SPIRIT,POINT (36.6843582 -3.3879294)
8,EINOTI,POINT (36.546258 -3.3715837)
9,ELITE,POINT (36.527264 -3.4034711)
10,NEW LIFE,POINT (36.5576467 -3.3693117)
11,ST. THADEUS,POINT (36.547019 -3.886211)
12,ST. THERESA OF THE CHILD JESUS,POINT (36.527364 -3.403272)
13,YAKINI,POINT (36.6466667 -3.3926473)
14,ARUSHA SCIENCE,POINT (36.6301921 -3.500601)
15,OLJORO,POINT (36.6537759 -3.4171463)
16,CORNERSTONE LEADERSHIP,POINT (36.6357133333 -3.2814616666)
17,ASSALAF ISLAMIC,POINT (36.5680556 -3.3819445)
18,MATEVES,POINT (36.580082 -3.378035)
19,ST.JOSEPH NGARENARO (GIRLS),POINT (36.3459657 -3.36608)
